product_id,category,material,packaging_type,transport_mode,distance_km,weight_kg,energy_kwh,water_process_l,carbon_kg,water_liters
1,Skincare,Aluminum,Bottle,Road,1001,0.248737686,4.028727105,12.08052537,5.877,12.01
2,Fragrance,Glass,Bottle,Road,4591,0.152779723,4.223152178,11.80673911,13.031,10.66
3,Makeup,Paper,Tube,Road,1053,0.236414637,3.485706979,11.07070316,5.59,9.4
4,Haircare,Glass,Tube,Sea,1165,0.175039326,3.171931738,7.206841372,5.598,8.65
5,Haircare,Glass,Box,Road,2577,0.227807713,2.212316808,17.99325795,7.975,19.25
6,Fragrance,Glass,Box,Road,2390,0.05,2.971904394,10.185814,7.467,8.63
7,Skincare,Plastic,Jar,Road,1760,0.159759743,1.914381938,19.13039061,5.834,12.86
8,Makeup,Aluminum,Box,Road,1995,0.367114112,2.485801367,12.06371683,7.421,10.9
9,Skincare,Plastic,Tube,Sea,1657,0.31643182,3.606712245,15.24214465,6.88,16.14
10,Skincare,Glass,Jar,Road,5024,0.355523147,3.358632695,14.78854821,13.393,15.88
11,Makeup,Glass,Box,Air,3213,0.361017702,7.177673645,7.878626298,13.343,11.99
12,Fragrance,Paper,Bottle,Road,5062,0.303838994,1.885045283,13.83601461,12.466,12.87
13,Makeup,Paper,Tube,Road,5428,0.213770505,3.349881535,21.64166472,13.729,17.12
14,Fragrance,Paper,Box,Road,3597,0.167019924,1.791521467,13.25806127,9.558,7.92
15,Makeup,Glass,Tube,Road,4549,0.341739568,3.034656949,16.5063837,12.135,13.58
16,Fragrance,Paper,Box,Sea,653,0.255165438,3.083488181,15.46635922,4.194,11.26
17,Makeup,Aluminum,Bottle,Road,5224,0.449521825,4.513856031,13.53524829,14.815,12.89
18,Skincare,Aluminum,Tube,Road,2677,0.220792162,2.960400153,12.93239359,9.681,15.89
19,Fragrance,Glass,Box,Sea,3938,0.407831668,3.27041648,14.7365778,10.699,13.89
20,Haircare,Paper,Tube,Sea,1387,0.237456657,2.983618445,15.81641273,5.758,17.01
21,Makeup,Plastic,Box,Sea,570,0.356883888,1.818737907,5.239179715,4.006,6.71
22,Haircare,Glass,Jar,Air,4872,0.385735339,2.717477154,13.23651445,14.955,17.55
23,Skincare,Glass,Tube,Sea,2499,0.168164006,3.041675942,11.0796106,7.747,14.59
24,Fragrance,Plastic,Jar,Sea,804,0.211200154,3.58859106,10.04236578,4.357,9.84
25,Fragrance,Glass,Box,Sea,3638,0.167361662,4.170736745,18.4798219,10.322,16.14
26,Makeup,Plastic,Bottle,Road,345,0.151604441,3.218484188,8.33426876,3.914,7.57
27,Haircare,Plastic,Jar,Sea,2505,0.303365348,3.197388483,5.026154698,7.968,3.45
28,Fragrance,Paper,Bottle,Road,3889,0.23426973,1.43502421,15.97858113,9.582,11.13
29,Makeup,Glass,Tube,Sea,3976,0.254189306,4.147681421,4.898030717,12.028,9.61
30,Haircare,Aluminum,Bottle,Air,2520,0.294499131,2.664922535,2.36028461,10.493,7.17
31,Haircare,Paper,Jar,Road,2066,0.101409053,4.396547886,16.54133845,7.502,14.99
32,Skincare,Paper,Box,Sea,4619,0.35294128,5.079727937,12.79361125,12.5,12.89
33,Skincare,Paper,Jar,Sea,1056,0.222072467,3.274501968,14.36359814,4.642,10.21
34,Makeup,Glass,Bottle,Road,456,0.292592104,2.272026463,9.787862126,3.877,13.88
35,Fragrance,Paper,Bottle,Road,904,0.299657027,3.479961664,5.077969342,4.969,6.3
36,Skincare,Paper,Bottle,Sea,4415,0.359663725,3.918442398,6.071063932,11.817,9.63
37,Fragrance,Plastic,Box,Air,2610,0.241611409,3.121375999,10.6390555,10.727,8.21
38,Fragrance,Plastic,Tube,Road,253,0.080109003,2.823153909,5.63798571,3.576,9.47
39,Haircare,Aluminum,Box,Road,969,0.254570209,4.176238653,13.53526454,6.249,16.13
40,Makeup,Plastic,Bottle,Sea,202,0.266056549,4.09709393,9.68771031,3.679,8.22
41,Skincare,Plastic,Jar,Road,4488,0.167259131,3.084452432,12.92518024,12.23,16.94
42,Fragrance,Paper,Bottle,Road,2564,0.261799252,1.515120602,12.77574064,7.397,10.47
43,Makeup,Paper,Jar,Road,420,0.221118525,4.047653822,13.93399777,4.459,11.51
